Solvent,N_Samples,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_RMSE_Std,Overfitting_Gap
log(So) Water,236,0.8333519271967729,5.759999939393123,3.1017933424306556,0.5719415950358084,7.381709061593511,4.580985764215747,0.5892045053796304,0.07102172728140496,8.730896994429216,2.977445367057562,0.26141033216096443
log(So) DMSO,236,0.8331557102375913,5.604903987023264,3.008043584522085,0.5291171335301335,7.364892507780615,4.7140758278376405,0.5842357578447132,0.04984322605676157,8.41671639777855,2.5529214505595124,0.3040385767074578
log(So) DMAC,236,0.8382529076735077,5.6947617122317835,3.049500088399171,0.5618166407287957,7.343760523725407,4.717785974921907,0.6194008814947938,0.03895110669924199,8.412648070768142,2.628483752803094,0.276436266944712
log(So) DMF,236,0.8444015446327975,5.559290638959141,2.991973347849806,0.5407946411630136,7.477904972540926,4.894679542476485,0.6177407122571104,0.03900717722184832,8.384678757691049,2.6287264585345063,0.3036069034697839
log(So) MeNO2,236,0.8432047890310267,5.637017164499727,3.0023981722740567,0.5549118819578289,7.450152447839454,4.860751921901722,0.618162969685085,0.042911864932509,8.500633291369999,2.738735615282153,0.28829290707319777
log(So) MeCN,236,0.8327984162531685,5.669990977299816,3.0635757586828953,0.574414342305157,7.299183149305402,4.83152676775126,0.5737512427826252,0.06165825744717282,8.60380675825842,2.6581348948375974,0.25838407394801155
log(So) MeOH,236,0.8817809176401945,5.65145904839678,3.0259846158313133,0.6648020475053235,7.796159098696637,5.115912864684282,0.7008005018073596,0.09072627886113288,8.910200743318063,3.268750683878237,0.21697887013487105
log(So) Propanonitrile,236,0.8458270670076349,5.667053626109989,2.986521784733071,0.5350022606886631,7.711288881195646,4.99391573930596,0.6316577437236547,0.04612289686195837,8.497974120916663,2.754734806642847,0.3108248063189718
log(So) Nitroethane,236,0.8414442939647174,5.661826504345156,2.990594406650381,0.5464223508708488,7.490298117866075,4.7737355750624655,0.6207346443356746,0.040166781884901255,8.449292029463981,2.6706386855270785,0.29502194309386864
log(So) Ethanol,236,0.8731455809579853,5.689918770316415,3.012421117688892,0.6540522816135832,7.620649371707648,4.966637632436349,0.6852593813012742,0.08862205479595714,8.864460665029288,3.2408806660960496,0.21909329934440214
log(So) 1-Propanol,236,0.8657489115755903,5.7524909104703745,3.0504840216924487,0.6112341486086159,7.897153481694821,4.996655795301253,0.6765146375509303,0.09003599759790298,8.795818828070958,3.184123802865249,0.2545147629669744
log(So) Acetone,236,0.8480458090475211,5.604706668601654,2.9841337276492683,0.5343260568193562,7.679023847966605,4.921787918359455,0.622820214741668,0.044550379601879124,8.526343438183423,2.627007419680903,0.31371975222816495
log(So) 2-Propanol,236,0.8645957241627966,5.709189632506155,3.0312699494278026,0.6129812788854694,7.746623596296409,4.944525187687171,0.677985796768137,0.07944131525384865,8.667667979765852,3.0635663690699064,0.25161444527732724
log(So) 4-Methyl-2-Pentanone,236,0.8468089451797868,5.521754043378348,2.935118673210374,0.5689132626890373,7.240939981741891,4.437950075160681,0.6164123388197214,0.053574080590770894,8.398290267612113,2.521704933706733,0.2778956824907495
log(So) DCM,236,0.844332724883671,5.641154229453209,2.9972123206420513,0.5958415234270262,7.104933926768576,4.443521883338976,0.6372156997856638,0.043445794460577745,8.328381195101892,2.502589890921712,0.24849120145664472
log(So) THF,236,0.8603271560282649,5.2826908165294455,2.84892087708775,0.6816422966388209,6.387137793001398,3.889075991638544,0.6443159353976964,0.03443561408464578,8.14388509191779,2.343750361995957,0.178684859389444
log(So) Ethylacetate,236,0.8779499472429625,5.098446429143899,2.806011102334051,0.711265643292919,6.40227999912276,3.9532939778251808,0.680527679419465,0.04027341528791811,8.045658961295072,2.312810923425409,0.16668430395004352
log(So) Toluene,236,0.9476366163466876,5.2369087301795165,3.029315812495076,0.8900572156140791,7.057294569914398,4.489253586324866,0.8637650883544354,0.06981160860826552,8.212311182844633,2.6406125255818207,0.05757940073260848
log(So) n-Hexane,236,0.9627941288184735,5.394196124088982,3.1506229045196834,0.9267489056051683,7.2014888728574915,4.7095100370157965,0.900214302744858,0.051974916730907636,8.539374780904007,2.5084300745636003,0.036045223213305166
